100 285
3 33 9
4 91 12
16 42 14
32 54 14
64 95 15
76 96 17
12 30 24
79 84 24
18 68 25
55 92 25
53 59 26
55 75 29
8 39 29
37 92 31
28 100 32
7 56 33
74 98 33
16 71 34
86 97 34
73 88 35
6 63 36
69 77 37
56 86 39
66 73 40
24 25 43
13 98 44
40 99 44
57 87 44
15 21 44
29 60 46
28 37 46
7 93 47
25 48 47
36 88 47
32 72 50
83 99 50
44 98 54
35 59 55
26 62 56
60 94 57
43 47 57
53 74 59
93 96 60
9 38 60
62 69 61
31 49 61
72 85 62
9 46 62
33 47 62
1 95 62
59 78 62
17 85 63
38 66 64
14 46 66
1 29 66
5 58 67
3 52 67
92 94 67
2 17 70
47 80 72
44 72 72
48 60 72
58 87 75
80 90 76
41 83 77
39 78 77
34 99 80
57 61 82
50 89 85
23 93 85
30 68 90
14 15 91
20 65 92
45 63 93
31 45 93
11 26 95
22 67 96
19 97 98
1 51 99
27 67 100
81 100 101
5 89 101
8 77 105
43 79 106
36 69 107
15 70 108
20 57 109
63 82 110
6 71 113
75 76 123
31 79 123
16 61 123
4 67 132
12 33 134
70 82 136
19 39 139
10 50 141
10 41 143
22 46 169
62 66 258
50 65 185
37 64 110
18 83 660
5 100 145
86 87 204
20 42 203
49 82 282
34 83 101
7 78 203
84 91 529
19 21 141
5 50 161
13 53 65
14 82 149
8 88 150
18 30 114
24 75 161
49 91 385
14 70 112
42 61 125
25 60 73
40 83 75
41 81 180
76 93 61
37 81 139
75 92 41
10 83 219
61 70 273
11 13 158
37 55 36
49 84 153
35 77 147
22 27 111
75 94 68
18 50 303
58 100 146
18 65 191
21 88 145
8 78 98
34 40 121
22 38 223
62 77 96
2 26 130
7 19 148
54 85 73
23 76 87
6 45 125
56 93 78
23 24 155
13 44 84
35 78 78
22 62 532
37 95 106
20 58 139
1 64 66
7 97 92
2 62 186
42 71 40
22 66 280
49 79 130
11 35 114
82 91 351
17 26 144
29 94 72
21 39 164
3 47 63
32 48 354
3 84 131
11 62 120
19 70 154
12 80 162
40 64 200
65 89 124
13 72 114
27 82 226
36 77 110
28 55 61
13 74 47
2 54 195
77 88 138
43 80 117
6 61 206
3 43 93
36 66 112
51 64 120
96 100 198
40 51 158
29 95 72
25 44 257
20 61 148
86 96 145
20 89 141
33 52 73
71 90 186
87 96 208
34 48 402
53 78 74
42 90 159
8 35 117
7 23 131
52 84 110
56 97 69
40 81 182
44 74 86
23 53 153
27 46 175
6 16 129
29 48 88
44 48 299
45 82 180
33 80 115
9 14 111
5 10 205
6 70 199
56 96 106
4 27 155
36 62 147
1 48 126
28 75 89
31 71 162
18 90 188
9 22 175
40 41 85
68 80 172
34 51 186
2 85 129
24 74 214
57 58 111
32 44 88
67 91 137
21 70 144
34 54 769
45 49 102
4 82 339
24 44 237
61 86 205
75 100 120
5 81 165
37 94 97
23 78 188
17 72 121
31 43 135
10 81 150
21 66 138
23 74 160
43 84 109
64 81 170
46 82 193
13 35 78
19 78 157
24 60 79
11 72 166
20 90 151
36 73 72
11 17 121
14 21 132
48 51 216
11 77 104
58 89 152
48 54 369
30 33 156
87 100 201
43 71 181
94 95 101
9 21 152
30 52 191
65 90 134
23 75 165
43 90 180
50 83 360
12 68 90
6 82 113
70 86 199
75 96 130
70 97 169
18 80 185
45 71 164
66 88 73
37 100 75
24 94 111
61 87 122
8 21 166
13 59 60
9 66 124
54 72 51
